sampleName,sigma,maxDrift,psnr_new,psnr_old,psnr_baseline,ssim_new,ssim_old,ssim_baseline
Phantom,0,1,20.7530299527284,21.6226606994264,22.0148700599285,0.899080676234534,0.924555344869088,0.909815050388439
Phantom,0,2,19.3596529588685,19.0722752253151,19.4158629132817,0.867935599509818,0.860008300797204,0.859072374061011
Phantom,0,3,17.7067640512106,17.8580571566147,17.7055763049568,0.820057200981601,0.818882361288596,0.815110361410616
Phantom,0,5,16.1534602579574,15.8619033382073,15.7138871322711,0.736144634048418,0.751768242779747,0.754477552648322
Phantom,0.01,1,20.6424080922231,21.7193175627336,22.0189849586274,0.858922253056555,0.892934500882523,0.889768431164457
Phantom,0.01,2,17.8628711491682,19.088329207689,19.3898441803613,0.58718879689797,0.827920652322471,0.839440569583868
Phantom,0.01,3,14.0218410923918,17.8642315554332,17.6870047685322,0.430044161404972,0.79704482901119,0.796107598089222
Phantom,0.01,5,15.3745510170818,15.8914051172869,15.7173130260514,0.614980087088709,0.728626914955603,0.735906440027615
Phantom,0.02,1,21.4058473863782,21.7926704068115,21.9484601047527,0.851825226152804,0.825020348086773,0.851915898997294
Phantom,0.02,2,19.1546802315348,19.0869387111687,19.34807883509,0.796154860100802,0.766640606150903,0.807199237475552
Phantom,0.02,3,17.313915828573,17.8653661054222,17.6665641908087,0.570784839459547,0.765840616655412,0.767356682727635
Phantom,0.02,5,15.0713015863973,15.652747119405,15.7190066785069,0.477409677172802,0.647581281714719,0.710036259681204
Brain,0,1,26.7166599885053,24.0578376033365,24.0247114457591,0.848577098541517,0.726050296963507,0.725226113195521
Brain,0,2,23.0692577374785,23.064872877776,23.048858211032,0.653746142423941,0.691959577952956,0.691655293669026
Brain,0,3,20.563877439367,22.0731085822639,22.0700259306094,0.484000426940992,0.65318453678422,0.653430982220759
Brain,0,5,20.5275487750798,20.184599648613,20.5247411995565,0.585832924776415,0.558037033556094,0.585065486149147
Brain,0.01,1,26.1799076594215,23.9575009271186,23.9441201717908,0.798706523459753,0.721187699049722,0.721299348613837
Brain,0.01,2,23.8475542280508,23.0034260296283,23.0131064111928,0.724221072086776,0.688202833037681,0.689051866980945
Brain,0.01,3,22.0184002008436,22.0656790143941,22.0565705681434,0.628531543898392,0.641791189387998,0.652278951368635
Brain,0.01,5,18.9038093177507,20.1205812433599,20.5145036667068,0.329522531145383,0.523082522806014,0.583375284069144
Brain,0.02,1,24.6666463397865,23.7808792315684,23.819517639224,0.739836885340398,0.710756183569754,0.712920228183977
Brain,0.02,2,23.3990246681396,22.9469913751909,22.9451178249964,0.697740781924861,0.559383794087146,0.682395855009648
Brain,0.02,3,22.1074790565474,21.4696734036918,22.0047750940239,0.63877075639261,0.497187335085305,0.646134148773385
Brain,0.02,5,20.0804307045799,20.494020495563,20.5018210812816,0.482708715202003,0.577322097477714,0.578244461444819
